session_id,roi_type,total_fixation_time_seconds,total_fixation_time_normalized,fixation_time_percentage,fixation_time_percentage_normalized,enter_count,regression_count
ad10q1,KW,23.842,1.0,0.6701,0.6701,39,35
ad10q1,INST,3.309,0.1394,0.093,0.093,5,4
ad10q1,BG,7.821,0.3296,0.2198,0.2198,25,24
ad10q2,KW,17.36,0.7315,0.634,0.634,24,20
ad10q2,INST,5.257,0.2215,0.192,0.192,3,2
ad10q2,BG,3.911,0.1648,0.1428,0.1428,13,12
ad10q3,KW,6.721,0.2832,0.3928,0.3928,14,11
ad10q3,INST,5.5,0.2318,0.3214,0.3214,5,3
ad10q3,BG,4.28,0.1803,0.2501,0.2501,10,9
ad10q4,KW,8.434,0.3554,0.2491,0.2491,8,7
ad10q4,INST,16.128,0.6796,0.4763,0.4763,27,24
ad10q4,BG,8.441,0.3557,0.2493,0.2493,24,23
ad10q5,KW,0.0,0.0,0.0,0.0,0,0
ad10q5,INST,12.227,0.5152,0.5716,0.5716,17,14
ad10q5,BG,8.31,0.3502,0.3885,0.3885,13,12
ad11q1,KW,24.687,1.0,0.5869,0.5869,48,44
ad11q1,INST,4.401,0.1854,0.1046,0.1046,7,6
ad11q1,BG,11.744,0.4949,0.2792,0.2792,32,31
ad11q2,KW,22.37,0.9426,0.4855,0.4855,47,43
ad11q2,INST,14.791,0.6233,0.321,0.321,14,13
ad11q2,BG,8.307,0.35,0.1803,0.1803,26,25
ad11q3,KW,10.635,0.4481,0.4143,0.4143,20,17
ad11q3,INST,10.264,0.4325,0.3998,0.3998,12,10
ad11q3,BG,3.668,0.1546,0.1429,0.1429,15,14
ad11q4,KW,25.675,1.0,0.3173,0.3173,27,26
ad11q4,INST,41.073,1.0,0.5076,0.5076,60,57
ad11q4,BG,10.26,0.4323,0.1268,0.1268,33,32
ad11q5,KW,0.0,0.0,0.0,0.0,0,0
ad11q5,INST,9.534,0.4017,0.4193,0.4193,19,16
ad11q5,BG,12.468,0.5254,0.5483,0.5483,17,16
ad12q1,KW,27.503,1.0,0.6796,0.6796,56,52
ad12q1,INST,3.918,0.1651,0.0968,0.0968,7,6
ad12q1,BG,8.562,0.3608,0.2116,0.2116,26,25
ad12q2,KW,15.283,0.644,0.6041,0.6041,35,31
ad12q2,INST,4.522,0.1905,0.1787,0.1787,5,4
ad12q2,BG,5.254,0.2214,0.2077,0.2077,20,19
ad12q3,KW,9.414,0.3967,0.4755,0.4755,20,17
ad12q3,INST,5.499,0.2317,0.2777,0.2777,5,3
ad12q3,BG,4.034,0.17,0.2037,0.2037,11,10
ad12q4,KW,5.744,0.242,0.1661,0.1661,6,5
ad12q4,INST,16.991,0.716,0.4912,0.4912,30,27
ad12q4,BG,9.901,0.4172,0.2862,0.2862,23,22
ad12q5,KW,0.0,0.0,0.0,0.0,0,0
ad12q5,INST,14.057,0.5923,0.6284,0.6284,20,17
ad12q5,BG,8.312,0.3502,0.3716,0.3716,16,15
ad13q1,KW,21.881,0.922,0.6831,0.6831,27,23
ad13q1,INST,3.791,0.1597,0.1184,0.1184,7,6
ad13q1,BG,5.748,0.2422,0.1795,0.1795,20,19
ad13q2,KW,33.124,1.0,0.6482,0.6482,63,59
ad13q2,INST,4.769,0.201,0.0933,0.0933,5,4
ad13q2,BG,11.857,0.4996,0.232,0.232,39,38
ad13q3,KW,10.39,0.4378,0.5347,0.5347,23,20
ad13q3,INST,3.788,0.1596,0.195,0.195,5,3
ad13q3,BG,4.891,0.2061,0.2517,0.2517,13,12
ad13q4,KW,8.922,0.376,0.2028,0.2028,7,6
ad13q4,INST,19.562,0.8243,0.4446,0.4446,30,27
ad13q4,BG,13.689,0.5768,0.3111,0.3111,31,30
ad13q5,KW,0.0,0.0,0.0,0.0,0,0
ad13q5,INST,8.923,0.376,0.4621,0.4621,15,12
ad13q5,BG,9.779,0.4121,0.5064,0.5064,13,12
ad14q1,KW,28.485,1.0,0.7146,0.7146,48,44
ad14q1,INST,3.917,0.1651,0.0983,0.0983,5,4
ad14q1,BG,6.482,0.2731,0.1626,0.1626,19,18
ad14q2,KW,40.951,1.0,0.891,0.891,31,27
ad14q2,INST,0.123,0.0052,0.0027,0.0027,1,0
ad14q2,BG,3.297,0.1389,0.0717,0.0717,12,11
ad14q3,KW,23.955,1.0,0.6242,0.6242,35,32
ad14q3,INST,5.985,0.2522,0.1559,0.1559,8,6
ad14q3,BG,7.461,0.3144,0.1944,0.1944,19,18
ad14q4,KW,6.478,0.273,0.1559,0.1559,7,6
ad14q4,INST,24.695,1.0,0.5942,0.5942,27,24
ad14q4,BG,9.409,0.3965,0.2264,0.2264,20,19
ad14q5,KW,0.0,0.0,0.0,0.0,0,0
ad14q5,INST,9.904,0.4173,0.6643,0.6643,17,14
