session_id,rr_2d_xy,rr_2d_xy_normalized,rr_1d_x,rr_1d_x_normalized,det_2d_xy,det_2d_xy_normalized,det_1d_x,det_1d_x_normalized,ent_2d_xy,ent_2d_xy_normalized,ent_1d_x,ent_1d_x_normalized
ad10q1,0.019209,0.1031,0.055822,0.2635,0.821998,0.8638,0.750361,0.8019,2.058734,0.6121,2.010738,0.6347
ad10q2,0.017605,0.0945,0.059683,0.2818,0.825748,0.8678,0.75374,0.8055,1.7771,0.5284,1.769862,0.5586
ad10q3,0.026621,0.1429,0.05313,0.2508,0.841004,0.8838,0.748428,0.7999,2.106352,0.6263,1.965984,0.6205
ad10q4,0.016838,0.0904,0.07218,0.3408,0.790759,0.831,0.782388,0.8362,2.199889,0.6541,2.378686,0.7508
ad10q5,0.018002,0.0966,0.041048,0.1938,0.809769,0.851,0.641488,0.6856,2.185193,0.6497,1.335476,0.4215
ad11q1,0.013663,0.0733,0.066889,0.3158,0.715728,0.7521,0.714826,0.7639,1.458067,0.4335,1.720273,0.543
ad11q2,0.017142,0.092,0.057884,0.2733,0.728814,0.7659,0.640825,0.6849,1.854088,0.5513,1.639133,0.5174
ad11q3,0.027484,0.1475,0.049709,0.2347,0.780087,0.8198,0.697463,0.7454,2.31549,0.6885,1.962329,0.6194
ad11q4,0.011694,0.0628,0.042341,0.1999,0.693369,0.7286,0.656614,0.7017,1.727745,0.5137,1.674838,0.5287
ad11q5,0.037174,0.1995,0.069868,0.3298,0.74057,0.7783,0.711209,0.7601,1.817035,0.5403,1.851012,0.5843
ad12q1,0.016421,0.0881,0.079499,0.3753,0.649046,0.6821,0.709433,0.7582,1.67939,0.4993,1.719895,0.5429
ad12q2,0.016087,0.0863,0.062734,0.2962,0.71521,0.7516,0.703734,0.7521,2.075573,0.6171,1.505673,0.4753
ad12q3,0.030497,0.1637,0.052137,0.2461,0.790419,0.8306,0.744308,0.7955,1.798304,0.5347,1.52635,0.4818
ad12q4,0.016326,0.0876,0.049078,0.2317,0.781377,0.8211,0.688215,0.7355,1.589707,0.4727,1.871152,0.5906
ad12q5,0.021566,0.1157,0.067485,0.3186,0.787086,0.8271,0.709983,0.7588,1.987637,0.591,1.639918,0.5176
ad13q1,0.021609,0.116,0.070864,0.3345,0.70915,0.7452,0.745889,0.7971,1.720683,0.5116,1.926137,0.608
ad13q2,0.016974,0.0911,0.062926,0.2971,0.714286,0.7506,0.696463,0.7443,1.696085,0.5043,1.787664,0.5643
ad13q3,0.04186,0.2246,0.05951,0.2809,0.741935,0.7797,0.708266,0.7569,1.802989,0.5361,1.556933,0.4914
ad13q4,0.015225,0.0817,0.060176,0.2841,0.739927,0.7776,0.690454,0.7379,2.213043,0.658,1.886684,0.5955
